,region,price,time,service,hist_price
0,NSW1,111.95013458281755,2019/01/09 15:30:00,energy,111.58861
1,QLD1,108.47933767922223,2019/01/09 15:30:00,energy,108.13476999999999
2,SA1,91.66062213853002,2019/01/09 15:30:00,energy,90.31215
3,TAS1,106.58999999985099,2019/01/09 15:30:00,energy,107.54
4,VIC1,103.76506781950593,2019/01/09 15:30:00,energy,103.44353000000001
5,NSW1,0.15000000037252903,2019/01/09 15:30:00,lower_5min,0.15987
6,NSW1,0.04000000096857548,2019/01/09 15:30:00,lower_60s,0.04
7,NSW1,0.030000003054738045,2019/01/09 15:30:00,lower_6s,0.03
8,NSW1,5.800000000745058,2019/01/09 15:30:00,lower_reg,3.95
9,NSW1,8.73000000230968,2019/01/09 15:30:00,raise_5min,8.73
10,NSW1,0.543712330982089,2019/01/09 15:30:00,raise_60s,0.5
11,NSW1,0.7300000004470348,2019/01/09 15:30:00,raise_6s,0.73
12,NSW1,10.0,2019/01/09 15:30:00,raise_reg,18.73
13,QLD1,0.15000000037252903,2019/01/09 15:30:00,lower_5min,0.15987
14,QLD1,0.04000000096857548,2019/01/09 15:30:00,lower_60s,0.04
15,QLD1,0.030000003054738045,2019/01/09 15:30:00,lower_6s,0.03
16,QLD1,5.800000000745058,2019/01/09 15:30:00,lower_reg,3.95
17,QLD1,8.73000000230968,2019/01/09 15:30:00,raise_5min,8.73
18,QLD1,0.543712330982089,2019/01/09 15:30:00,raise_60s,0.5
19,QLD1,0.7300000004470348,2019/01/09 15:30:00,raise_6s,0.73
20,QLD1,10.0,2019/01/09 15:30:00,raise_reg,18.73
21,SA1,0.15000000037252903,2019/01/09 15:30:00,lower_5min,0.15987
22,SA1,0.04000000096857548,2019/01/09 15:30:00,lower_60s,0.04
23,SA1,0.030000003054738045,2019/01/09 15:30:00,lower_6s,0.03
24,SA1,5.800000000745058,2019/01/09 15:30:00,lower_reg,3.95
25,SA1,8.73000000230968,2019/01/09 15:30:00,raise_5min,8.73
26,SA1,0.543712330982089,2019/01/09 15:30:00,raise_60s,0.5
27,SA1,0.7300000004470348,2019/01/09 15:30:00,raise_6s,0.73
28,SA1,10.0,2019/01/09 15:30:00,raise_reg,18.73
29,TAS1,0.15000000037252903,2019/01/09 15:30:00,lower_5min,0.15987
30,TAS1,0.04000000096857548,2019/01/09 15:30:00,lower_60s,0.04
31,TAS1,0.030000003054738045,2019/01/09 15:30:00,lower_6s,0.03
32,TAS1,5.800000000745058,2019/01/09 15:30:00,lower_reg,3.95
33,TAS1,8.73000000230968,2019/01/09 15:30:00,raise_5min,14.4
34,TAS1,9.400000000372529,2019/01/09 15:30:00,raise_60s,9.4
35,TAS1,4.881652584299445,2019/01/09 15:30:00,raise_6s,4.95
36,TAS1,8.73000000230968,2019/01/09 15:30:00,raise_reg,14.4
37,VIC1,0.15000000037252903,2019/01/09 15:30:00,lower_5min,0.15987
38,VIC1,0.04000000096857548,2019/01/09 15:30:00,lower_60s,0.04
39,VIC1,0.030000003054738045,2019/01/09 15:30:00,lower_6s,0.03
40,VIC1,5.800000000745058,2019/01/09 15:30:00,lower_reg,3.95
41,VIC1,8.73000000230968,2019/01/09 15:30:00,raise_5min,8.73
42,VIC1,0.543712330982089,2019/01/09 15:30:00,raise_60s,0.5
43,VIC1,0.7300000004470348,2019/01/09 15:30:00,raise_6s,0.73
44,VIC1,10.0,2019/01/09 15:30:00,raise_reg,18.73
0,NSW1,79.90781600400805,2019/01/05 14:10:00,energy,86.90289
1,QLD1,72.5804191827774,2019/01/05 14:10:00,energy,78.93406
2,SA1,31.358955964446068,2019/01/05 14:10:00,energy,26.95273
3,TAS1,38.747100403532386,2019/01/05 14:10:00,energy,110.74
4,VIC1,34.92333587631583,2019/01/05 14:10:00,energy,30.01
5,NSW1,3.725290298461914e-09,2019/01/05 14:10:00,lower_5min,0.19
6,NSW1,3.725290298461914e-09,2019/01/05 14:10:00,lower_60s,0.14
7,NSW1,3.725290298461914e-09,2019/01/05 14:10:00,lower_6s,0.03
8,NSW1,24.78999999910593,2019/01/05 14:10:00,lower_reg,23.73
9,NSW1,2.7899999991059303,2019/01/05 14:10:00,raise_5min,2.79
10,NSW1,0.35999999940395355,2019/01/05 14:10:00,raise_60s,0.36
